Indicator ID,Indicator Name,Display Name,Source ID,Data Type,Transform Notebook,Frequency,AggregateType,DenominatorIndicatorID,PerCapita,MinYear
peopleinjecteddrugspopulationsizeestimate_pidpse,People who inject drugs -  Population size estimate,People who inject drugs -  Population size estimate,PID_PSE,float,UNAIDS_transform,,,,,
peopleinjecteddrugshivprevalence_pidhivp,People who inject drugs - HIV prevalence,People who inject drugs - HIV prevalence,PID_HIVP,float,UNAIDS_transform,,,,,
peopleinjecteddrugsneedlesperinjector_pidni,People who inject drugs - needles per injector,People who inject drugs - needles per injector,PID_NI,float,UNAIDS_transform,,,,,
peopleinjecteddrugsavoidanceofhealthcareduetostigmaanddiscrimination_pidahcsd,People who inject drugs: Avoidance of health care because of stigma and discrimination,People who inject drugs: Avoidance of health care because of stigma and discrimination,PID_AHC_SD,float,UNAIDS_transform,,,,,
safeinjectingpractices_pidsip,Safe injecting practices among people who inject drugs,Safe injecting practices among people who inject drugs,PID_SIP,float,UNAIDS_transform,,,,,
coverageofhivpreventionprogrammesamongpeopleinjecteddrugs_pidhivc,Coverage of HIV prevention programmes among people who inject drugs,Coverage of HIV prevention programmes among people who inject drugs,PID_HIVC,float,UNAIDS_transform,,,,,
hivtestingandstatusawarenessamongpeopleinjecteddrugs_pidhivtsa,HIV testing and status awareness among people who inject drugs,HIV testing and status awareness among people who inject drugs,PID_HIV_TSA,float,UNAIDS_transform,,,,,
transgederpeopleavoidanceofhealthcareduetostigmaanddiscrimination_transgp,Transgender people: Avoidance of health care because of stigma and discrimination,Transgender people: Avoidance of health care because of stigma and discrimination,TRANS_GP,float,UNAIDS_transform,,,,,
transgenderpeoplepopulationsizeestimate_transgp,Transgender people - population size estimate,Transgender people - population size estimate,TRANS_GP,float,UNAIDS_transform,,,,,
hivprevalenceamongtransgenderpeople_transgp,HIV prevalence among transgender people,HIV prevalence among transgender people,TRANS_GP,float,UNAIDS_transform,,,,,
prisonerspopulationsizeestimate_transgp,Prisoners: Population size estimate,Prisoners: Population size estimate,TRANS_GP,float,UNAIDS_transform,,,,,
hivprevalenceamongprisoners_transgp,HIV prevalence among prisoners,HIV prevalence among prisoners,TRANS_GP,float,UNAIDS_transform,,,,,
condomdistributiontoprisoners_transgp,Condoms distributed to prisoners,Condoms distributed to prisoners,TRANS_GP,float,UNAIDS_transform,,,,,
coverageofprotectedareasinrelationtomarineareas_ermrmmpa,Coverage of protected areas in relation to marine areas,Coverage of protected areas in relation to marine areas,ER_MRN_MPA,float,ER_MRN_MPA_transform,,,,,
changeinabsolutenumberofpeopleexposedtofloods_informcc,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)","Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",INFORM_CC,float,INFORM_CC_transform,,,,,
changeinabsolutenumberofpeopleexposedtocoastalfloods_informcc,"Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)","Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)",INFORM_CC,float,INFORM_CC_transform,,,,,
changeinabsolutenumberofpeopleexposedtodrought_informcc,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)","Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",INFORM_CC,float,INFORM_CC_transform,,,,,
changeinabsolutenumberofpeopleexposedtomalariaanddengue_informcc,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)","Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",INFORM_CC,float,INFORM_CC_transform,,,,,
changeinhumanhazardandexposuretoconflict_informcc,"Change in Human Hazard & Exposure to conflict -SSP3, RCP 8.5 (2050)","Change in Human Hazard & Exposure to conflict -SSP3, RCP 8.5 (2050)",INFORM_CC,float,INFORM_CC_transform,,,,,
publichealthriskcommunication_phrcomm,Public Health Risk Communication,Public Health Risk Communication,PHR_COMM,float,GHO_API_WHO_transform,,,,,
bedsinmentalhospitals_bedsmh,"Beds in mental hospitals (per 100,000) ","Beds in mental hospitals (per 100,000) ",BEDS_MH,float,GHO_API_WHO_transform,,,,,
bedsformentalhealthingeneralhospital_bedsmhgh,"Beds for mental health in general hospitals (per 100,000)","Beds for mental health in general hospitals (per 100,000)",BEDS_MH_GH,float,GHO_API_WHO_transform,,,,,
mentalhealthdaytreatmentfacilities_mhdtf,"Mental health day treatment facilities (per 100,000) ","Mental health day treatment facilities (per 100,000) ",MH_DTF,float,GHO_API_WHO_transform,,,,,
mentalhealthoutpatientfacilities_mhof,"Mental health outpatient facilities (per 100,000) ","Mental health outpatient facilities (per 100,000) ",MH_OF,float,GHO_API_WHO_transform,,,,,
mentalhealthunitsingeneralhospitals_mhugh,"Mental health units in general hospitals (per 100,000) ","Mental health units in general hospitals (per 100,000) ",MHU_GH,float,GHO_API_WHO_transform,,,,,
mentalhealthunitsingeneralhospitalsadmissions_mhugha,"Mental health units in general hospitals admissions (per 100,000) ","Mental health units in general hospitals admissions (per 100,000) ",MHU_GHA,float,GHO_API_WHO_transform,,,,,
nursesworkinginmentalhealthsector_nursmhs,Nurses working in mental health sector (per 100 000) ,Nurses working in mental health sector (per 100 000) ,NURS_MHS,float,GHO_API_WHO_transform,,,,,
psychiatricsworkinginmentalhealthsector_psychiamhs,"Psychiatrists working in mental health sector (per 100,000)","Psychiatrists working in mental health sector (per 100,000)",PSYCHIAT_MHS,float,GHO_API_WHO_transform,,,,,
psychologistworkinginmentalhealthsector_psycholmhs,"Psychologists working in mental health sector (per 100,000)","Psychologists working in mental health sector (per 100,000)",PSYCHOL_MHS,float,GHO_API_WHO_transform,,,,,
suiciderateagestanderdized_srppas,"Suicide rate per 100,000 population- age-standardized","Suicide rate per 100,000 population- age-standardized",SRPP_AS,float,GHO_API_WHO_transform,,,,,
gghedaspercentageofgge_gghedgge,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE),Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE),GGHED_GGE,float,GHO_API_WHO_transform,,,,,
numofpregnantwomanwithhivneedingantiretrovirals_hivpwnpmtct,"HIV, Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission ","HIV, Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission ",HIVPW_NPMTCT,float,GHO_API_WHO_transform,,,,,
numofpregnantwomenwithhivreceivedantiretrovirals_hivpwrapmtct,"HIV, Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission ","HIV, Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission ",HIVPW_RAPMTCT,float,GHO_API_WHO_transform,,,,,
chemicalevents_chemevents,Chemical Events (IHR SPAR),Chemical Events (IHR SPAR),CHEM_EVENTS,float,GHO_API_WHO_transform,,,,,
surveillancecapacity_survcap,Surveillance Capacity (IHR SPAR),Surveillance Capacity (IHR SPAR),SURV_CAP,float,GHO_API_WHO_transform,,,,,
prevalenceofdigestivediseasesfemale_pddfihme,"Prevalence of digestive diseases, female (estimate), (rate)","Prevalence of digestive diseases, female (estimate), (rate)",PDDF_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofdigestivediseasesmale_pddmihme,"Prevalence of digestive diseases, male (estimate), (rate)","Prevalence of digestive diseases, male (estimate), (rate)",PDDM_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtodigestivediseasesfemale_dddfihme,"Deaths attributed to digestive diseases, female (estimate), (rate)","Deaths attributed to digestive diseases, female (estimate), (rate)",DDDF_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtodigestivediseasesmale_dddmihme,"Deaths attributed to digestive diseases, male (estimate), (rate)","Deaths attributed to digestive diseases, male (estimate), (rate)",DDDM_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofcardiovasculardiseasesfemale_pcdfihme,"Prevalence of cardiovascular diseases, female (estimate), (rate)","Prevalence of cardiovascular diseases, female (estimate), (rate)",PCDF_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofcardiovasculardiseasesmale_pcdmihme,"Prevalence of cardiovascular diseases, male (estimate), (rate)","Prevalence of cardiovascular diseases, male (estimate), (rate)",PCDM_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtocardiovasculardiseasesfemale_dcdfihme,"Deaths attributed to cardiovascular diseases, female (estimate), (rate)","Deaths attributed to cardiovascular diseases, female (estimate), (rate)",DCDF_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtocardiovasculardiseasesmale_dcdmihme,"Deaths attributed to cardiovascular diseases, male (estimate), (rate)","Deaths attributed to cardiovascular diseases, male (estimate), (rate)",DCDM_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofchronicrespiratorydiseasesfemale_pcrdfihme,"Prevalence of chronic respiratory diseases, female (estimate), (rate)","Prevalence of chronic respiratory diseases, female (estimate), (rate)",PCRDF_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofchronicrespiratorydiseasesmale_pcrdmihme,"Prevalence of chronic respiratory diseases, male (estimate), (rate)","Prevalence of chronic respiratory diseases, male (estimate), (rate)",PCRDM_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtochronicrespiratorydiseasesfemale_dcrdfihme,"Deaths attributed to chronic respiratory diseases, female (estimate), (rate)","Deaths attributed to chronic respiratory diseases, female (estimate), (rate)",DCRDF_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtochronicrespiratorydiseasesmale_dcrdmihme,"Deaths attributed to chronic respiratory diseases, male (estimate), (rate)","Deaths attributed to chronic respiratory diseases, male (estimate), (rate)",DCRDM_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofneurologicaldisordersfemale_pdnfihme,"Prevalence of neurological disorders, female (estimate), (rate)","Prevalence of neurological disorders, female (estimate), (rate)",PDNF_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofneurologicaldisordersfemale_pdnfihme,"Prevalence of neurological disorders, male (estimate), (rate)","Prevalence of neurological disorders, male (estimate), (rate)",PNDM_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtoneurologicaldisordersfemale_dndfihme,"Deaths attributed to neurological disorders, female (estimate), (rate)","Deaths attributed to neurological disorders, female (estimate), (rate)",DNDF_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtoneurologicaldisordersmale_dndmihme,"Deaths attributed to neurological disorders, male (estimate), (rate)","Deaths attributed to neurological disorders, male (estimate), (rate)",DNDM_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofnoncommunicablediseasesfemale_poncdfihme,"Prevalence of other non-communicable diseases, female (estimate), (rate)","Prevalence of other non-communicable diseases, female (estimate), (rate)",PONCDF_IHME,float,IHME_STATIC_tansform,,,,,
prevalenceofnoncommunicablediseasesmale_poncdmihme,"Prevalence of other non-communicable diseases, male (estimate), (rate)","Prevalence of other non-communicable diseases, male (estimate), (rate)",PONCDM_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtononcommunicablediseasesfemale_doncdfihme,"Deaths attributed to other non-communicable diseases, female (estimate), (rate)","Deaths attributed to other non-communicable diseases, female (estimate), (rate)",DONCDF_IHME,float,IHME_STATIC_tansform,,,,,
deathsattributedtononcommunicablediseasesmale_doncdmihme,"Deaths attributed to other non-communicable diseases, male (estimate), (rate)","Deaths attributed to other non-communicable diseases, male (estimate), (rate)",DONCDM_IHME,float,IHME_STATIC_tansform,,,,,
ambientparticulatematterpollutionexposure_apmattpe,Ambient particulate matter pollution exposure,Ambient particulate matter pollution exposure (mean estimate),AP_MATT_PE,float,IHME_POLLUTION_transform,,,,,
householdairpolutionfromsolidfuels_hapsfuel,Household air pollution from solid fuels,Household air pollution from solid fuels (mean estimate),HAP_SFUEL,float,IHME_POLLUTION_transform,,,,,
populationbelowsixtyofmedianconsumptionpovertylinebyoutofpockethealthcareexpenditure_hefpi,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),HEFPI,float,HEFPI_WDI_transform,,,,,
changeinpovertygapduetooutofpockethealthspending$1.9povertyline_hefpi,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $1.90 poverty line","Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $1.90 poverty line",HEFPI,float,HEFPI_WDI_transform,,,,,
changeinpovertygapduetooutofpockethealthspending$3.2povertyline_hefpi,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line","Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line",HEFPI,float,HEFPI_WDI_transform,,,,,
changeinpovertygapduetooutofpockethealthspending$5.5povertyline_hefpi,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line","Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line",HEFPI,float,HEFPI_WDI_transform,,,,,
meanhouseholdpercapitaoutofhealthspending_hefpi,Mean household per capita out-of-pocket health spending ($ 2011 PPP),Mean household per capita out-of-pocket health spending ($ 2011 PPP),HEFPI,float,HEFPI_WDI_transform,,,,,
adequacyofsocialsafetynetprograms_wdi,Adequacy of social safety net programs,Adequacy of social safety net programs,WDI,float,HEFPI_WDI_transform,,,,,
governmentexpenditureontotaleducation_wdi,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of GDP)",WDI,float,HEFPI_WDI_transform,,,,,
expeditureonhivandstdofche_stdexp,Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Current Health Expenditure (CHE),Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Current Health Expenditure (CHE),STD_EXP,float,STD_EXP_transform,,,,,
externalsourcesoffundinghivandstdofexternalhealthexpenditure_stdexp,External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of External Health Expenditure (EXT),External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of External Health Expenditure (EXT),STD_EXP,float,STD_EXP_transform,,,,,
prevalencealcoholandsubstanceusedisordersbothsexes_pasdis,Prevalence - Alcohol and substance use disorders: Both sexes (age-standardized percent),Prevalence - Alcohol and substance use disorders: Both sexes (age-standardized percent),PAS_DIS,float,PAS_DIS_transform,,,,,
totalworkforceinmentalhealthsector_mhstotwf,"Total workforce in mental health sector (per 100,000) ","Total workforce in mental health sector (per 100,000) ",MHS_TOTWF,float,MHS_TOTWF_transform,,,,,
forestareatothepercentageoflandarea_frstarea,Forest area (% of land area),Forest area (% of land area),FRST_AREA,float,FRST_AREA_transform,,,,,
percentageofgirlsundergonefemalegenitalmalfunctionsagebelow15_fgmua,Percentage of girls (aged 0-14) who have undergone female genital mutilation (FGM),Percentage of girls (aged 0-14) who have undergone female genital mutilation (FGM),FGM_UA,float,SDMX_UNICEF_transform,,,,,
percentageofgirlsundergonefemalegenitalmalfunctionsagebetween15to49_fgmafa,Percentage of girls and women (aged 15-49 years) who have undergone female genital mutilation (FGM),Percentage of girls and women (aged 15-49 years) who have undergone female genital mutilation (FGM),FGM_AFA,float,SDMX_UNICEF_transform,,,,,
mothertochildhivtransmissionrate_mchvitr,Mother-to-child HIV transmission rate,Mother-to-child HIV transmission rate,MC_HIV_TR,float,SDMX_UNICEF_transform,,,,,
percentofterrestrialprotectedareasoftotallandareas_trrprotarea,Terrestrial protected areas (% of total land area),Terrestrial protected areas (% of total land area),TRRPROT_AREA,float,FRST_AREA_transform,,,,,
degreeofimplementationofinternationalinstrumentsaimingtocombatillegalunreportedunregulatedfishing_ilfish,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",IL_FISH_META,float,IL_FISHING_transform,,,,,
degreeofimplementationofinternationalinstrumentsaimingtocombatillegalunreportedunregulatedfishing_ilfish,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",IL_FISH_DATA,float,IL_FISHING_transform,,,,,
medicalwastetonsperyear_medwaste,Medical Waste (tons per year),Medical Waste (tons per year),MED_WASTE_META,float,MED_WASTE_transform,,,,,
medicalwastetonsperyear_medwaste,Medical Waste (tons per year),Medical Waste (tons per year),MED_WASTE_DATA,float,MED_WASTE_transform,,,,,
